Neighbourhood,Crime Category,Incident Count
New Toronto (18),Assault,1318
New Toronto (18),Auto Theft,226
New Toronto (18),Break and Enter,350
New Toronto (18),NonMCI,390
New Toronto (18),Robbery,156
New Toronto (18),Theft Over,59
Newtonbrook East (50),Assault,990
Newtonbrook East (50),Auto Theft,399
Newtonbrook East (50),Break and Enter,503
Newtonbrook East (50),NonMCI,439
Newtonbrook East (50),Robbery,139
Newtonbrook East (50),Theft Over,101
Newtonbrook West (36),Assault,1896
Newtonbrook West (36),Auto Theft,951
Newtonbrook West (36),Break and Enter,578
Newtonbrook West (36),NonMCI,899
Newtonbrook West (36),Robbery,265
Newtonbrook West (36),Theft Over,144
North Riverdale (68),Assault,665
North Riverdale (68),Auto Theft,176
North Riverdale (68),Break and Enter,422
North Riverdale (68),NonMCI,440
North Riverdale (68),Robbery,148
North Riverdale (68),Theft Over,40
North St.James Town (74),Assault,2405
North St.James Town (74),Auto Theft,190
North St.James Town (74),Break and Enter,649
North St.James Town (74),NonMCI,908
North St.James Town (74),Robbery,307
North St.James Town (74),Theft Over,95
North Toronto (173),Assault,991
North Toronto (173),Auto Theft,98
North Toronto (173),Break and Enter,461
North Toronto (173),NonMCI,210
North Toronto (173),Robbery,112
North Toronto (173),Theft Over,49
O'Connor-Parkview (54),Assault,1582
O'Connor-Parkview (54),Auto Theft,315
O'Connor-Parkview (54),Break and Enter,437
O'Connor-Parkview (54),NonMCI,676
O'Connor-Parkview (54),Robbery,131
O'Connor-Parkview (54),Theft Over,81
Oakdale-Beverley Heights (154),Assault,3261
Oakdale-Beverley Heights (154),Auto Theft,1019
Oakdale-Beverley Heights (154),Break and Enter,620
Oakdale-Beverley Heights (154),NonMCI,1032
Oakdale-Beverley Heights (154),Robbery,401
Oakdale-Beverley Heights (154),Theft Over,157
Oakridge (121),Assault,2011
Oakridge (121),Auto Theft,196
Oakridge (121),Break and Enter,575
Oakridge (121),NonMCI,623
Oakridge (121),Robbery,293
Oakridge (121),Theft Over,64
Oakwood Village (107),Assault,1436
Oakwood Village (107),Auto Theft,369
Oakwood Village (107),Break and Enter,400
Oakwood Village (107),NonMCI,484
Oakwood Village (107),Robbery,215
Oakwood Village (107),Theft Over,46
Old East York (58),Assault,592
Old East York (58),Auto Theft,141
Old East York (58),Break and Enter,184
Old East York (58),NonMCI,313
Old East York (58),Robbery,82
Old East York (58),Theft Over,33
Palmerston-Little Italy (80),Assault,879
Palmerston-Little Italy (80),Auto Theft,194
Palmerston-Little Italy (80),Break and Enter,503
Palmerston-Little Italy (80),NonMCI,553
Palmerston-Little Italy (80),Robbery,150
Palmerston-Little Italy (80),Theft Over,72
Parkwoods-O'Connor Hills (149),Assault,633
Parkwoods-O'Connor Hills (149),Auto Theft,300
Parkwoods-O'Connor Hills (149),Break and Enter,328
Parkwoods-O'Connor Hills (149),NonMCI,411
Parkwoods-O'Connor Hills (149),Robbery,88
Parkwoods-O'Connor Hills (149),Theft Over,43
Pelmo Park-Humberlea (23),Assault,779
Pelmo Park-Humberlea (23),Auto Theft,652
Pelmo Park-Humberlea (23),Break and Enter,275
